[WARNING] Deprecated '--logger=capnslog' flag is set; use '--logger=zap' flag instead
2022-05-30 01:38:15.064756 I | etcdmain: etcd Version: 3.4.13
2022-05-30 01:38:49.211842 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:257" took too long (229.831967ms) to execute
2022-05-30 01:38:49.213174 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:575" took too long (195.946109ms) to execute
2022-05-30 01:38:49.213600 W | etcdserver: request "header:<ID:5991336796231797992 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" mod_revision:1426 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" value_size:514 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" > >>" with result "size:16" took too long (174.46104ms) to execute
2022-05-30 01:38:49.621431 W | etcdserver: read-only range request "key:\"/registry/masterleases/10.0.2.15\" " with result "range_response_count:1 size:127" took too long (400.970197ms) to execute
2022-05-30 01:38:49.621826 W | etcdserver: request "header:<ID:5991336796231797998 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/kube-system/kube-controller-manager.16f3be4dba45f571\" mod_revision:0 > success:<request_put:<key:\"/registry/events/kube-system/kube-controller-manager.16f3be4dba45f571\" value_size:693 lease:5991336796231797643 >> failure:<>>" with result "size:16" took too long (190.471381ms) to execute
2022-05-30 01:38:49.622497 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:602" took too long (398.384018ms) to execute
2022-05-30 01:38:49.622762 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/coredns-f9fd979d6-lrzv9.16f3be4aaf17ecb4\" " with result "range_response_count:1 size:771" took too long (267.193328ms) to execute
2022-05-30 01:38:49.622947 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:5" took too long (250.517104ms) to execute
2022-05-30 01:38:50.157005 W | etcdserver: request "header:<ID:5991336796231798005 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/masterleases/10.0.2.15\" mod_revision:1507 > success:<request_put:<key:\"/registry/masterleases/10.0.2.15\" value_size:64 lease:5991336796231798003 >> failure:<request_range:<key:\"/registry/masterleases/10.0.2.15\" > >>" with result "size:16" took too long (397.560558ms) to execute
2022-05-30 01:38:50.157082 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:511" took too long (529.094257ms) to execute
2022-05-30 01:38:50.235182 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:479" took too long (604.564552ms) to execute
2022-05-30 01:38:50.529566 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/service-account-controller\" " with result "range_response_count:1 size:275" took too long (353.011435ms) to execute
2022-05-30 01:38:50.529857 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:5" took too long (397.012028ms) to execute
2022-05-30 01:38:50.530473 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:417" took too long (370.53815ms) to execute
2022-05-30 01:38:50.530599 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/coredns-f9fd979d6-lrzv9.16f3be4b594ad96c\" " with result "range_response_count:1 size:865" took too long (366.485752ms) to execute
2022-05-30 01:38:50.530717 W | etcdserver: request "header:<ID:5991336796231798012 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/leases/kube-system/kube-scheduler\" mod_revision:1425 > success:<request_put:<key:\"/registry/leases/kube-system/kube-scheduler\" value_size:415 >> failure:<request_range:<key:\"/registry/leases/kube-system/kube-scheduler\" > >>" with result "size:16" took too long (121.030625ms) to execute
2022-05-30 01:38:50.530773 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:511" took too long (286.286046ms) to execute
2022-05-30 01:38:50.905416 W | etcdserver: read-only range request "key:\"/registry/endpointslices/default/kubernetes\" " with result "range_response_count:1 size:481" took too long (368.487497ms) to execute
2022-05-30 01:38:50.905814 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/generic-garbage-collector\" " with result "range_response_count:1 size:272" took too long (361.98062ms) to execute
2022-05-30 01:38:50.948671 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:482" took too long (320.985079ms) to execute
2022-05-30 01:38:50.953669 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/kube-proxy-4pwdh.16f3be4aaf4f154c\" " with result "range_response_count:1 size:844" took too long (328.232306ms) to execute
2022-05-30 01:38:51.381414 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:482" took too long (396.759628ms) to execute
2022-05-30 01:38:51.411355 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:5" took too long (277.883241ms) to execute
2022-05-30 01:38:51.411702 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/job-controller\" " with result "range_response_count:1 size:239" took too long (417.403247ms) to execute
2022-05-30 01:38:51.824746 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/coredns-f9fd979d6-c9tcq.16f3be4ab0529487\" " with result "range_response_count:1 size:771" took too long (439.071456ms) to execute
2022-05-30 01:38:51.825484 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/statefulset-controller\" " with result "range_response_count:1 size:263" took too long (402.589929ms) to execute
2022-05-30 01:38:52.074320 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2022-05-30 01:38:52.679450 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-flannel-ds-lv5nv\" " with result "range_response_count:1 size:7632" took too long (682.333375ms) to execute
2022-05-30 01:38:52.679690 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/kube-proxy-4pwdh.16f3be4aaf4f154c\" " with result "range_response_count:1 size:844" took too long (835.255596ms) to execute
2022-05-30 01:38:52.680106 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:5" took too long (546.205036ms) to execute
2022-05-30 01:38:52.683402 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpointslice-controller\" " with result "range_response_count:1 size:269" took too long (836.60343ms) to execute
2022-05-30 01:38:53.091998 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:506" took too long (405.366642ms) to execute
2022-05-30 01:38:53.092556 W | etcdserver: request "header:<ID:5991336796231798041 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/kube-system/kube-flannel-ds-lv5nv\" mod_revision:1502 > success:<request_put:<key:\"/registry/pods/kube-system/kube-flannel-ds-lv5nv\" value_size:7568 >> failure:<request_range:<key:\"/registry/pods/kube-system/kube-flannel-ds-lv5nv\" > >>" with result "size:16" took too long (137.328883ms) to execute
2022-05-30 01:38:53.760005 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/horizontal-pod-autoscaler\" " with result "range_response_count:1 size:272" took too long (1.066466618s) to execute
2022-05-30 01:38:53.761381 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/coredns-f9fd979d6-c9tcq.16f3be4b59473e29\" " with result "range_response_count:1 size:865" took too long (1.071174265s) to execute
2022-05-30 01:38:53.761462 W | etcdserver: request "header:<ID:5991336796231798043 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" mod_revision:1531 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" value_size:514 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" > >>" with result "size:16" took too long (482.616781ms) to execute
2022-05-30 01:38:53.761652 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:5" took too long (627.082671ms) to execute
2022-05-30 01:38:53.761765 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:575" took too long (343.049268ms) to execute
2022-05-30 01:38:53.997913 W | etcdserver: request "header:<ID:5991336796231798048 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/kube-system/kube-flannel-ds-lv5nv.16f3be4e5632f506\" mod_revision:0 > success:<request_put:<key:\"/registry/events/kube-system/kube-flannel-ds-lv5nv.16f3be4e5632f506\" value_size:697 lease:5991336796231797643 >> failure:<>>" with result "size:16" took too long (120.641627ms) to execute
2022-05-30 01:38:54.001482 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:480" took too long (234.413055ms) to execute
2022-05-30 01:38:54.003235 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/horizontal-pod-autoscaler\" " with result "range_response_count:1 size:272" took too long (231.395147ms) to execute
2022-05-30 01:38:54.382057 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/horizontal-pod-autoscaler\" " with result "range_response_count:1 size:272" took too long (287.008009ms) to execute
2022-05-30 01:38:54.382477 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/kube-flannel-ds-lv5nv.16f3be4b4dc8c95a\" " with result "range_response_count:1 size:859" took too long (314.979068ms) to execute
2022-05-30 01:38:54.383919 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:5" took too long (248.9421ms) to execute
2022-05-30 01:38:58.606687 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:602" took too long (409.900943ms) to execute
2022-05-30 01:38:58.612954 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:575" took too long (363.741457ms) to execute
2022-05-30 01:38:58.890839 W | etcdserver: request "header:<ID:5991336796231798096 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-scheduler\" mod_revision:1555 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" value_size:496 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" > >>" with result "size:16" took too long (178.967763ms) to execute
2022-05-30 01:38:59.142346 W | etcdserver: read-only range request "key:\"/registry/masterleases/10.0.2.15\" " with result "range_response_count:1 size:127" took too long (150.154194ms) to execute
2022-05-30 01:38:59.688525 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/coredns-f9fd979d6-lrzv9.16f3be4b594ad96c\" " with result "range_response_count:1 size:865" took too long (216.619852ms) to execute
2022-05-30 01:39:01.491837 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:506" took too long (578.363129ms) to execute
2022-05-30 01:39:01.491971 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:5" took too long (358.82469ms) to execute
2022-05-30 01:39:01.493048 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:575" took too long (496.824147ms) to execute
2022-05-30 01:39:01.967923 I | etcdserver/api/etcdhttp: /health OK (status code 200)
2022-05-30 01:39:02.089803 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/coredns-f9fd979d6-c9tcq.16f3be4b59473e29\" " with result "range_response_count:1 size:865" took too long (179.737914ms) to execute
2022-05-30 01:39:05.082746 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" " with result "range_response_count:1 size:5553" took too long (193.28823ms) to execute
2022-05-30 01:39:05.740965 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/deployment-controller\" " with result "range_response_count:1 size:260" took too long (239.907159ms) to execute
2022-05-30 01:39:05.741146 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:602" took too long (197.875425ms) to execute
2022-05-30 01:39:06.399614 W | etcdserver: request "header:<ID:5991336796231798169 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" mod_revision:1579 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" value_size:514 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" > >>" with result "size:16" took too long (538.42441ms) to execute
2022-05-30 01:39:06.401024 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:480" took too long (642.709193ms) to execute
2022-05-30 01:39:06.401634 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/attachdetach-controller\" " with result "range_response_count:1 size:266" took too long (640.495568ms) to execute
2022-05-30 01:39:06.402309 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:5" took too long (268.834684ms) to execute
2022-05-30 01:39:06.727024 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:507" took too long (314.323169ms) to execute
2022-05-30 01:39:06.727281 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/pv-protection-controller\" " with result "range_response_count:1 size:269" took too long (145.560642ms) to execute
2022-05-30 01:39:07.156590 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:254" took too long (419.630878ms) to execute
2022-05-30 01:39:07.157212 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:5" took too long (275.877349ms) to execute
2022-05-30 01:39:08.229164 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/token-cleaner\" " with result "range_response_count:1 size:236" took too long (456.671629ms) to execute
2022-05-30 01:39:08.229939 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/coredns-f9fd979d6-lrzv9.16f3be4aaf17ecb4\" " with result "range_response_count:1 size:771" took too long (685.421804ms) to execute
2022-05-30 01:39:08.975194 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/node-controller\" " with result "range_response_count:1 size:242" took too long (726.53069ms) to execute
2022-05-30 01:39:09.272842 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:575" took too long (854.930324ms) to execute
2022-05-30 01:39:09.273312 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:257" took too long (290.357792ms) to execute
2022-05-30 01:39:09.283614 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:602" took too long (536.924438ms) to execute
2022-05-30 01:39:09.284680 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/bootstrap-token-v8ri60\" " with result "range_response_count:1 size:789" took too long (1.025025604s) to execute
2022-05-30 01:39:09.284810 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/coredns-f9fd979d6-lrzv9.16f3be4b594ad96c\" " with result "range_response_count:1 size:865" took too long (1.021426701s) to execute
2022-05-30 01:39:09.286523 W | etcdserver: read-only range request "key:\"/registry/events/\" range_end:\"/registry/events0\" limit:500 " with result "range_response_count:110 size:85019" took too long (203.767409ms) to execute
2022-05-30 01:39:09.287119 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:5" took too long (149.254022ms) to execute
2022-05-30 01:39:09.655095 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:480" took too long (367.612058ms) to execute
2022-05-30 01:39:09.655632 W | etcdserver: request "header:<ID:5991336796231798202 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/kube-system/coredns-f9fd979d6-lrzv9.16f3be4b594ad96c\" mod_revision:1569 > success:<request_put:<key:\"/registry/events/kube-system/coredns-f9fd979d6-lrzv9.16f3be4b594ad96c\" value_size:763 lease:5991336796231797643 >> failure:<request_range:<key:\"/registry/events/kube-system/coredns-f9fd979d6-lrzv9.16f3be4b594ad96c\" > >>" with result "size:16" took too long (195.825459ms) to execute
2022-05-30 01:39:09.659433 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:507" took too long (327.648702ms) to execute
2022-05-30 01:39:09.660357 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/bootstrap-token-v8ri60\" " with result "range_response_count:1 size:789" took too long (364.477344ms) to execute
2022-05-30 01:39:09.661537 W | etcdserver: read-only range request "key:\"/registry/services/specs/default/kubernetes\" " with result "range_response_count:1 size:610" took too long (370.752082ms) to execute
2022-05-30 01:39:10.134900 W | etcdserver: request "header:<ID:5991336796231798210 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-scheduler\" mod_revision:1587 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" value_size:496 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" > >>" with result "size:16" took too long (285.210746ms) to execute
